State,Number.of.Participating.Agencies,Population.Covered,Total.Offenses,Assault.Offenses,Homicide.Offenses,Human.Trafficking,Kidnapping.Abduction,Sex.Offenses
Total,9880,177522400,2235280,2063412,11815,1576,31216,127261
Alabama,131,715130,4384,4214,24,0,52,94
Arizona,22,1769207,18440,16756,86,5,302,1291
Arkansas,281,2818360,63893,60103,340,2,685,2763
Colorado,225,5754151,64221,55631,350,30,2403,5807
Connecticut,105,3488526,27833,25994,134,10,249,1446
Delaware,62,986809,16154,15255,87,6,215,591
District of Columbia1,1,,1062,994,3,0,3,62
Georgia,401,7938166,99961,91136,605,215,2040,5965
Hawaii,1,966438,9376,8358,25,10,323,660
Idaho,107,1819575,16972,14725,48,4,241,1954
Illinois,7,240617,5688,5350,33,0,117,188
Indiana,160,4675214,55303,49876,448,39,1275,3665
Iowa,251,3083186,30872,28466,124,0,220,2062
Kansas,356,2586059,42607,39051,95,0,1239,2222
Kentucky,423,4472499,47887,43377,366,19,1166,2959
Louisiana,70,1739794,22995,21860,130,2,228,775
Maine,68,841254,8338,7599,20,3,21,695
Maryland,3,1792745,8176,7239,100,5,20,812
Massachusetts,342,6815611,68909,64802,167,28,487,3425
Michigan,627,9767448,155110,143029,848,49,818,10366
Minnesota,401,5584006,32600,28884,188,50,464,3014
Mississippi,83,1256005,16843,16016,91,0,78,658
Missouri,321,4778935,58458,54524,402,36,513,2983
Montana,100,1075088,13630,11845,61,4,272,1448
Nebraska,121,1034668,9247,8192,25,1,138,891
Nevada,28,3059000,25667,23483,93,111,419,1561
New Hampshire,193,1335848,14913,13096,24,7,253,1533
New Mexico,17,1114118,25958,23577,126,4,853,1398
New York,56,1870894,11872,11135,22,0,193,522
North Carolina,377,9618194,128459,120176,809,56,1900,5518
North Dakota,106,765309,10769,9620,34,11,135,969
Ohio,560,9805446,148955,139203,747,16,1908,7081
Oklahoma,404,2875975,36790,33454,206,12,459,2659
Oregon,207,4000770,38223,34389,171,24,445,3194
Pennsylvania,22,253932,264,238,3,0,5,18
Rhode Island,47,1056100,9246,8508,32,3,52,651
South Carolina,398,5139301,94085,88748,575,23,1085,3654
South Dakota,121,848707,13416,12063,52,2,171,1128
Tennessee,463,6886834,144313,136180,747,40,2028,5318
Texas,806,26328281,357801,337069,1792,399,2758,15783
Utah,114,3103855,33720,28617,110,66,891,4036
Vermont,88,623347,3988,3569,18,1,93,307
Virginia,416,8589304,98675,91564,588,60,1642,4821
Washington,232,7663709,78988,72069,334,78,1264,5243
West Virginia,251,1562004,14608,13128,121,59,137,1163
Wisconsin,282,4821673,44398,39165,409,85,938,3801
Wyoming,23,200308,1213,1085,2,1,18,107
