Location,Total.Offenses,Arson,Bribery,Burglary.Breaking.and.Entering,Counterfeiting.Forgery,Destruction.Damage.Vandalism,Embezzlement,Extortion.Blackmail,Fraud.Offenses,Larceny.Theft.Offenses,Motor.Vehicle.Theft,Robbery,Stolen.Property.Offenses
Total,5371269,21829,622,522400,102486,1016618,19819,9141,643405,2453071,406911,102659,72308
Abandoned/Condemned Structure,4128,267,2,1197,17,1361,3,1,85,939,149,63,44
Air/Bus/Train Terminal,13959,71,1,294,138,2926,31,6,2264,6615,790,680,143
Amusement Park,1387,3,0,121,38,264,12,0,88,767,58,30,6
Arena/Stadium/Fairgrounds/Coliseum,1874,12,0,263,32,530,12,1,69,848,87,12,8
ATM Separate from Bank,4773,4,0,123,234,426,18,1,2862,892,27,169,17
Auto Dealership New/Used,28185,52,0,2709,683,3616,204,4,3122,9522,7906,89,278
Bank/Savings and Loan,64762,38,0,641,19187,2655,419,26,31250,8457,210,1319,560
Bar/Nightclub,19275,78,4,2180,611,4223,96,11,1473,9083,957,453,106
Camp/Campground,3869,47,0,574,13,818,7,2,89,1979,246,30,64
Church/Synagogue/Temple/Mosque,24326,196,0,5634,182,8700,46,7,510,8026,710,153,162
Commercial/Office Building,162371,670,5,28553,3866,35611,1998,110,15527,63727,9658,1680,966
Community Center,4391,34,0,611,28,1271,13,2,163,2111,96,47,15
Construction Site,41250,130,1,8970,58,6942,95,7,328,23114,1377,86,142
Convenience Store,167399,177,8,8201,8863,12114,1840,29,17534,103204,5809,8235,1385
Cyberspace,62332,0,14,0,827,46,106,1577,59722,0,0,0,40
Daycare Facility,2539,8,0,476,33,684,13,1,111,1099,94,9,11
Department/Discount Store,322674,197,11,7979,6048,8984,3075,33,29436,259184,1880,4200,1647
Dock/Wharf/Freight/Modal Terminal,2562,20,0,212,14,423,101,0,73,1521,172,14,12
Drug Store/Doctor's Office/Hospital,50634,82,9,3058,2449,6838,360,23,6099,29423,983,1053,257
Farm Facility,6753,67,0,1518,27,1167,24,3,118,3033,724,8,64
Field/Woods,27570,1156,2,694,49,8899,22,6,337,12693,2245,751,716
Gambling Facility/Casino/Race Track,6791,13,0,241,673,629,38,1,946,3489,391,222,148
Government/Public Building,38379,250,36,2355,1786,9532,220,100,12400,10401,743,183,373
Grocery/Supermarket,167532,97,4,3338,5465,5378,1185,18,14613,132536,1544,2414,940
Highway/Road/Alley/Street/Sidewalk,451496,2895,158,2758,5687,124915,313,113,18451,164377,74375,25953,31501
Hotel/Motel/Etc.,83772,257,18,5191,1304,16198,394,72,6859,40009,8265,3022,2183
Industrial Site,11125,46,1,2033,73,2410,146,3,362,5089,850,26,86
Jail/Prison/Penitentiary/Corrections Facility,5955,86,32,61,351,3736,9,16,673,818,47,38,88
Lake/Waterway/Beach,4787,31,1,141,13,1068,4,3,88,3109,192,54,83
Liquor Store,15484,20,1,1404,669,1379,89,5,1073,9927,300,554,63
Military Installation,170,1,0,12,4,38,0,2,24,76,12,0,1
Park/Playground,34723,591,3,1084,105,14091,13,12,994,14682,996,1802,350
Parking/Drop Lot/Garage,577436,1460,38,14814,1906,133442,278,59,9685,304584,90130,12865,8175
Rental Storage Facility,49897,76,1,23763,104,8968,109,15,1264,12478,2640,89,390
Residence/Home,2194766,10503,222,325518,16475,481648,2898,5886,265702,886786,162740,22130,14258
Rest Area,1327,12,0,63,14,448,2,5,72,574,75,38,24
Restaurant,86777,224,7,12571,7455,15202,1749,39,13043,30774,2310,2898,505
School/College,8233,80,4,834,126,2883,21,22,544,3460,153,68,38
School-College/University,19360,87,0,1305,358,5429,48,115,2059,9340,422,87,110
School-Elementary/Secondary,22877,347,1,2862,218,8179,48,38,1206,9237,342,233,166
Service/Gas Station,95103,132,3,4876,3909,9511,869,28,10812,50414,8424,4705,1420
Shelter-Mission/Homeless,2707,13,1,138,15,500,12,4,139,1720,62,77,26
Shopping Mall,21500,32,2,719,265,1567,112,4,1823,15766,524,427,259
Specialty Store,141747,170,3,14941,3889,14732,1492,36,18930,79846,3500,2816,1392
Tribal Lands,276,1,0,20,5,58,1,0,29,125,27,4,6
Other/Unknown,312036,1096,29,27350,8220,46179,1274,695,90354,117217,13669,2873,3080
