State,Number of Participating.Agencies,Population.Covered,Total.Offenses,Animal.Cruelty,Drug.Narcotic.Offenses,Gambling.Offenses,Pornography/.Obscene.Material,Prostitution.Offenses,Weapon.Law.Violations
Alabama,131,715130,3235,43,2903,1,11,0,277
Arizona,22,1769207,18239,182,16530,0,232,39,1256
Arkansas,281,2818360,35720,11,31860,17,390,48,3394
Colorado,225,5754151,31282,759,22217,5,874,224,7203
Connecticut,105,3488526,10780,85,8060,16,208,39,2372
Delaware,62,986809,12934,1154,9431,31,104,41,2173
District of Columbia1,1,,408,1,330,0,0,0,77
Georgia,401,7938166,39015,885,32004,32,1153,246,4695
Hawaii,1,966438,3280,46,2400,313,60,40,421
Idaho,107,1819575,23704,52,22434,0,288,33,897
Illinois,7,240617,1135,1,557,0,32,6,539
Indiana,160,4675214,36414,437,30118,249,718,60,4832
Iowa,251,3083186,24306,0,21444,3,392,31,2436
Kansas,356,2586059,30538,1,27134,6,387,76,2934
Kentucky,423,4472499,44912,178,41189,13,573,84,2875
Louisiana,70,1739794,14814,2,12399,14,314,97,1988
Maine,68,841254,3170,26,2693,2,216,37,196
Maryland,3,1792745,4136,5,3099,1,105,28,898
Massachusetts,342,6815611,13306,115,8846,59,891,157,3238
Michigan,627,9767448,42974,487,25083,23,1070,508,15803
Minnesota,401,5584006,22778,260,17993,12,497,22,3994
Mississippi,83,1256005,13881,209,12103,7,119,18,1425
Missouri,321,4778935,46084,214,40198,29,489,106,5048
Montana,100,1075088,7558,100,7211,0,16,23,208
Nebraska,121,1034668,8633,53,7680,0,184,22,694
Nevada,28,3059000,11716,44,8506,20,86,590,2470
New Hampshire,193,1335848,7604,188,6183,4,700,68,461
New Mexico,17,1114118,7893,62,5918,1,157,59,1696
New York,56,1870894,3124,0,2548,0,51,27,498
North Carolina,377,9618194,100119,481,84595,95,1551,311,13086
North Dakota,106,765309,12993,88,12035,6,192,34,638
Ohio,560,9805446,61965,218,48301,3,1246,409,11788
Oklahoma,404,2875975,19795,102,15950,1,513,75,3154
Oregon,207,4000770,22389,407,15546,1,520,116,5799
Pennsylvania,22,253932,267,1,219,0,7,0,40
Rhode Island,47,1056100,3557,35,2265,7,413,13,824
South Carolina,398,5139301,57106,313,46806,40,803,169,8975
South Dakota,121,848707,13759,21,12738,11,232,33,724
Tennessee,463,6886834,93872,423,79671,20,790,340,12628
Texas,806,26328281,155180,2137,126171,376,3523,1942,21031
Utah,114,3103855,39485,64,35355,4,520,143,3399
Vermont,88,623347,1397,33,1181,1,88,16,78
Virginia,416,8589304,74071,1164,56611,9,1894,371,14022
Washington,232,7663709,30852,200,23864,9,739,415,5625
West Virginia,251,1562004,12779,9,10653,0,495,30,1592
Wisconsin,282,4821673,49165,241,37553,3,1418,216,9734
Wyoming,23,200308,855,29,803,0,7,2,14
